h,ne,tn,ti,te
376.000000,1.719625,678.454102,955.987976,1123.824707
377.000000,1.713412,678.456360,957.683044,1125.446045
378.000000,1.707210,678.458618,959.378174,1127.069702
379.000000,1.701020,678.460754,961.073181,1128.695068
380.000000,1.694840,678.462830,962.768188,1130.322021
381.000000,1.688674,678.464844,964.463013,1131.949829
382.000000,1.682520,678.466858,966.157837,1133.578613
383.000000,1.676379,678.468750,967.852417,1135.208130
384.000000,1.670252,678.470581,969.547058,1136.838013
385.000000,1.664139,678.472351,971.241455,1138.468384
386.000000,1.658041,678.474060,972.935852,1140.099976
387.000000,1.651958,678.475769,974.629944,1141.731079
388.000000,1.645890,678.477356,976.323975,1143.363037
389.000000,1.639837,678.478943,978.017761,1144.994751
390.000000,1.633800,678.480469,979.711426,1146.627075
391.000000,1.627780,678.481934,981.404785,1148.259155
392.000000,1.621777,678.483398,983.097961,1149.891724
393.000000,1.615790,678.484802,984.790894,1151.524048
394.000000,1.609821,678.486145,986.483459,1153.156616
395.000000,1.603870,678.487427,988.175781,1154.789185
396.000000,1.597936,678.488708,989.867676,1156.422363
397.000000,1.592021,678.489929,991.559265,1158.055176
398.000000,1.586124,678.491089,993.250366,1159.687500
399.000000,1.580245,678.492249,994.940979,1161.320557
400.000000,1.574386,678.493347,996.631165,1162.953125
401.000000,1.568546,678.494446,998.320740,1164.586182
402.000000,1.562726,678.495483,1000.009705,1166.219360
403.000000,1.556925,678.496521,1001.697998,1167.852051
404.000000,1.551144,678.497498,1003.385559,1169.485107
405.000000,1.545383,678.498474,1005.072327,1171.117554
406.000000,1.539642,678.499390,1006.758240,1172.750977
407.000000,1.533922,678.500244,1008.443237,1174.383667
408.000000,1.528222,678.501160,1010.127136,1176.016602
409.000000,1.522543,678.501953,1011.809937,1177.649780
410.000000,1.516885,678.502808,1013.491577,1179.282471
411.000000,1.511248,678.503601,1015.171936,1180.915894
412.000000,1.505633,678.504333,1016.850830,1182.548340
413.000000,1.500039,678.505127,1018.528259,1184.181641
414.000000,1.494466,678.505798,1020.204041,1185.814331
415.000000,1.488915,678.506531,1021.878113,1187.447266
416.000000,1.483385,678.507202,1023.550293,1189.080688
417.000000,1.477878,678.507874,1025.220459,1190.713379
418.000000,1.472392,678.508484,1026.888794,1192.346558
419.000000,1.466929,678.509094,1028.554810,1193.979004
420.000000,1.461488,678.509705,1030.218384,1195.612305
421.000000,1.456068,678.510254,1031.879517,1197.245728
422.000000,1.450672,678.510864,1033.538208,1198.878174
423.000000,1.445297,678.511414,1035.194336,1200.510864
424.000000,1.439945,678.511902,1036.847534,1202.144043
425.000000,1.434616,678.512451,1038.497925,1203.777344
426.000000,1.429309,678.512939,1040.145630,1205.410034
427.000000,1.424024,678.513428,1041.790161,1207.043213
428.000000,1.418762,678.513855,1043.431641,1208.676025
429.000000,1.413523,678.514343,1045.070068,1210.308960
430.000000,1.408307,678.514771,1046.705566,1211.941528
431.000000,1.403114,678.515198,1048.338013,1213.575195
432.000000,1.397943,678.515564,1049.967163,1215.208374
433.000000,1.392795,678.515991,1051.593262,1216.840820
434.000000,1.387670,678.516357,1053.216431,1218.473755
435.000000,1.382568,678.516785,1054.836670,1220.106689
436.000000,1.377488,678.517090,1056.453857,1221.739746
437.000000,1.372432,678.517456,1058.068237,1223.372681
438.000000,1.367398,678.517822,1059.679932,1225.006104
439.000000,1.362387,678.518127,1061.289062,1226.639160
440.000000,1.357399,678.518494,1062.895508,1228.271606
441.000000,1.352434,678.518799,1064.499512,1229.905151
442.000000,1.347492,678.519104,1066.101318,1231.538086
443.000000,1.342573,678.519348,1067.700928,1233.171021
444.000000,1.337676,678.519653,1069.298340,1234.803589
445.000000,1.332802,678.519958,1070.893677,1236.437134
446.000000,1.327951,678.520203,1072.487427,1238.069824
447.000000,1.323123,678.520447,1074.079346,1239.703125
448.000000,1.318317,678.520691,1075.669678,1241.336060
449.000000,1.313534,678.520935,1077.258423,1242.968994
450.000000,1.308774,678.521179,1078.845825,1244.601807
451.000000,1.304037,678.521423,1080.432007,1246.234497
452.000000,1.299322,678.521667,1082.016846,1247.868164
453.000000,1.294629,678.521851,1083.600586,1249.501221
454.000000,1.289959,678.522095,1085.183350,1251.133911
455.000000,1.285311,678.522278,1086.765259,1252.767212
456.000000,1.280686,678.522461,1088.346069,1254.400146
457.000000,1.276083,678.522644,1089.926147,1256.033447
458.000000,1.271502,678.522827,1091.505615,1257.666260
459.000000,1.266944,678.523010,1093.084473,1259.299561
460.000000,1.262408,678.523193,1094.662476,1260.932617
461.000000,1.257894,678.523376,1096.239990,1262.565552
462.000000,1.253402,678.523499,1097.817139,1264.199219
